1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.0/classic-theme-1.0.0.jar returned status 404
1.0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.44/classic-theme-1.0.44.jar returned status 404
1.0.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.45/classic-theme-1.0.45.jar returned status 404
1.0.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.46/classic-theme-1.0.46.jar returned status 404
1.0.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.47/classic-theme-1.0.47.jar returned status 404
1.0.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.48/classic-theme-1.0.48.jar returned status 404
1.0.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.49/classic-theme-1.0.49.jar returned status 404
1.0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.5/classic-theme-1.0.5.jar returned status 404
1.0.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.50/classic-theme-1.0.50.jar returned status 404
1.0.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.51/classic-theme-1.0.51.jar returned status 404
1.0.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.52/classic-theme-1.0.52.jar returned status 404
1.0.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.53/classic-theme-1.0.53.jar returned status 404
1.0.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.54/classic-theme-1.0.54.jar returned status 404
1.0.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.55/classic-theme-1.0.55.jar returned status 404
1.0.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.56/classic-theme-1.0.56.jar returned status 404
1.0.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.57/classic-theme-1.0.57.jar returned status 404
1.0.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.58/classic-theme-1.0.58.jar returned status 404
1.0.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.59/classic-theme-1.0.59.jar returned status 404
1.0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.6/classic-theme-1.0.6.jar returned status 404
1.0.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.60/classic-theme-1.0.60.jar returned status 404
1.0.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.61/classic-theme-1.0.61.jar returned status 404
1.0.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.62/classic-theme-1.0.62.jar returned status 404
1.0.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.63/classic-theme-1.0.63.jar returned status 404
1.0.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.64/classic-theme-1.0.64.jar returned status 404
1.0.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.65/classic-theme-1.0.65.jar returned status 404
1.0.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.66/classic-theme-1.0.66.jar returned status 404
1.0.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.67/classic-theme-1.0.67.jar returned status 404
1.0.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.68/classic-theme-1.0.68.jar returned status 404
1.0.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.69/classic-theme-1.0.69.jar returned status 404
1.0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.7/classic-theme-1.0.7.jar returned status 404
1.0.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.70/classic-theme-1.0.70.jar returned status 404
1.0.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.71/classic-theme-1.0.71.jar returned status 404
1.0.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.72/classic-theme-1.0.72.jar returned status 404
1.0.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.73/classic-theme-1.0.73.jar returned status 404
1.0.74		2023-12-06T15:34:42Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.74/classic-theme-1.0.74.jar returned status 404
1.0.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.8/classic-theme-1.0.8.jar returned status 404
1.0.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/1.0.9/classic-theme-1.0.9.jar returned status 404
2.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.0/classic-theme-2.0.0.jar returned status 404
2.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.1/classic-theme-2.0.1.jar returned status 404
2.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.10/classic-theme-2.0.10.jar returned status 404
2.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.11/classic-theme-2.0.11.jar returned status 404
2.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.12/classic-theme-2.0.12.jar returned status 404
2.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.13/classic-theme-2.0.13.jar returned status 404
2.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.14/classic-theme-2.0.14.jar returned status 404
2.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.15/classic-theme-2.0.15.jar returned status 404
2.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.16/classic-theme-2.0.16.jar returned status 404
2.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.17/classic-theme-2.0.17.jar returned status 404
2.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.18/classic-theme-2.0.18.jar returned status 404
2.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.19/classic-theme-2.0.19.jar returned status 404
2.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.2/classic-theme-2.0.2.jar returned status 404
2.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.20/classic-theme-2.0.20.jar returned status 404
2.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.21/classic-theme-2.0.21.jar returned status 404
2.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.22/classic-theme-2.0.22.jar returned status 404
2.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.23/classic-theme-2.0.23.jar returned status 404
2.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.24/classic-theme-2.0.24.jar returned status 404
2.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.25/classic-theme-2.0.25.jar returned status 404
2.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.26/classic-theme-2.0.26.jar returned status 404
2.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.27/classic-theme-2.0.27.jar returned status 404
2.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.28/classic-theme-2.0.28.jar returned status 404
2.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.29/classic-theme-2.0.29.jar returned status 404
2.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.3/classic-theme-2.0.3.jar returned status 404
2.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.30/classic-theme-2.0.30.jar returned status 404
2.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.31/classic-theme-2.0.31.jar returned status 404
2.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.32/classic-theme-2.0.32.jar returned status 404
2.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.33/classic-theme-2.0.33.jar returned status 404
2.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.34/classic-theme-2.0.34.jar returned status 404
2.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.35/classic-theme-2.0.35.jar returned status 404
2.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.36/classic-theme-2.0.36.jar returned status 404
2.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.37/classic-theme-2.0.37.jar returned status 404
2.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.38/classic-theme-2.0.38.jar returned status 404
2.0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.39/classic-theme-2.0.39.jar returned status 404
2.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.4/classic-theme-2.0.4.jar returned status 404
2.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.40/classic-theme-2.0.40.jar returned status 404
2.0.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.41/classic-theme-2.0.41.jar returned status 404
2.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.42/classic-theme-2.0.42.jar returned status 404
2.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.43/classic-theme-2.0.43.jar returned status 404
2.0.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.44/classic-theme-2.0.44.jar returned status 404
2.0.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.45/classic-theme-2.0.45.jar returned status 404
2.0.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.46/classic-theme-2.0.46.jar returned status 404
2.0.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.47/classic-theme-2.0.47.jar returned status 404
2.0.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.48/classic-theme-2.0.48.jar returned status 404
2.0.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.49/classic-theme-2.0.49.jar returned status 404
2.0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.5/classic-theme-2.0.5.jar returned status 404
2.0.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.50/classic-theme-2.0.50.jar returned status 404
2.0.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.51/classic-theme-2.0.51.jar returned status 404
2.0.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.52/classic-theme-2.0.52.jar returned status 404
2.0.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.53/classic-theme-2.0.53.jar returned status 404
2.0.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.54/classic-theme-2.0.54.jar returned status 404
2.0.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.55/classic-theme-2.0.55.jar returned status 404
2.0.56		2023-08-10T18:42:43Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.56/classic-theme-2.0.56.jar returned status 404
2.0.57		2025-04-02T18:12:12Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.57/classic-theme-2.0.57.jar returned status 404
2.0.58		2025-04-08T10:03:12Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.58/classic-theme-2.0.58.jar returned status 404
2.0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.6/classic-theme-2.0.6.jar returned status 404
2.0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.7/classic-theme-2.0.7.jar returned status 404
2.0.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.8/classic-theme-2.0.8.jar returned status 404
2.0.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/2.0.9/classic-theme-2.0.9.jar returned status 404
3.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.0/classic-theme-3.0.0.jar returned status 404
3.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.1/classic-theme-3.0.1.jar returned status 404
3.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.10/classic-theme-3.0.10.jar returned status 404
3.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.11/classic-theme-3.0.11.jar returned status 404
3.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.12/classic-theme-3.0.12.jar returned status 404
3.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.13/classic-theme-3.0.13.jar returned status 404
3.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.14/classic-theme-3.0.14.jar returned status 404
3.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.15/classic-theme-3.0.15.jar returned status 404
3.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.16/classic-theme-3.0.16.jar returned status 404
3.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.17/classic-theme-3.0.17.jar returned status 404
3.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.18/classic-theme-3.0.18.jar returned status 404
3.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.19/classic-theme-3.0.19.jar returned status 404
3.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.2/classic-theme-3.0.2.jar returned status 404
3.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.20/classic-theme-3.0.20.jar returned status 404
3.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.21/classic-theme-3.0.21.jar returned status 404
3.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.22/classic-theme-3.0.22.jar returned status 404
3.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.23/classic-theme-3.0.23.jar returned status 404
3.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.24/classic-theme-3.0.24.jar returned status 404
3.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.25/classic-theme-3.0.25.jar returned status 404
3.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.26/classic-theme-3.0.26.jar returned status 404
3.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.27/classic-theme-3.0.27.jar returned status 404
3.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.28/classic-theme-3.0.28.jar returned status 404
3.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.29/classic-theme-3.0.29.jar returned status 404
3.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.3/classic-theme-3.0.3.jar returned status 404
3.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.30/classic-theme-3.0.30.jar returned status 404
3.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.31/classic-theme-3.0.31.jar returned status 404
3.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.32/classic-theme-3.0.32.jar returned status 404
3.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.33/classic-theme-3.0.33.jar returned status 404
3.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.34/classic-theme-3.0.34.jar returned status 404
3.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.35/classic-theme-3.0.35.jar returned status 404
3.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.36/classic-theme-3.0.36.jar returned status 404
3.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.37/classic-theme-3.0.37.jar returned status 404
3.0.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.38/classic-theme-3.0.38.jar returned status 404
3.0.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.39/classic-theme-3.0.39.jar returned status 404
3.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.4/classic-theme-3.0.4.jar returned status 404
3.0.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.40/classic-theme-3.0.40.jar returned status 404
3.0.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.41/classic-theme-3.0.41.jar returned status 404
3.0.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.42/classic-theme-3.0.42.jar returned status 404
3.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/liferay/plugins/classic-theme/3.0.43/classic-theme-3.0.43.jar returned status 404
